Trained,Ratio,BalanusEaten,ElminiusEaten
Balanus,30/6,12,0
Balanus,30/6,15,0
Balanus,30/6,12,0
Balanus,30/6,14,0
Balanus,30/6,13,0
Balanus,30/6,15,0
Balanus,18/18,12,3
Balanus,18/18,7,0
Balanus,18/18,1,0
Balanus,18/18,8,1
Balanus,18/18,6,1
Balanus,6/30,5,3
Balanus,6/30,1,5
Balanus,6/30,5,3
Balanus,6/30,2,7
Balanus,6/30,7,4
Control,30/6,11,0
Control,30/6,13,1
Control,30/6,13,2
Control,30/6,12,1
Control,30/6,18,2
Control,30/6,2,0
Control,18/18,7,5
Control,18/18,1,1
Control,18/18,6,4
Control,18/18,9,8
Control,18/18,8,9
Control,18/18,8,4
Control,6/30,6,4
Control,6/30,3,6
Control,6/30,4,4
Control,6/30,1,12
Control,6/30,4,9
Control,6/30,2,6
Elminius,30/6,9,1
Elminius,30/6,7,2
Elminius,30/6,10,2
Elminius,30/6,14,4
Elminius,30/6,7,1
Elminius,30/6,20,3
Elminius,18/18,2,7
Elminius,18/18,6,5
Elminius,18/18,8,3
Elminius,18/18,1,4
Elminius,18/18,5,1
Elminius,18/18,5,6
Elminius,6/30,1,9
Elminius,6/30,1,10
Elminius,6/30,0,18
Elminius,6/30,0,13
Elminius,6/30,0,5
Elminius,6/30,0,10
